Name,RA,Dec,Con,OT,Other
WBL 367,179.442900,27.871700,LEO,G+,Rich=3; z=0.01135
WBL 368,179.567400,25.155000,LEO,G+,Rich=13; z=0.01515
WBL 369,180.116300,31.888300,UMA,G+,Rich=3; z=0.02620
WBL 370,180.515300,17.838300,COM,G+,Rich=4; z=0.02305
WBL 371,180.864900,16.505000,COM,G+,Rich=3; z=0.01839
WBL 372,180.990500,1.888300,VIR,G+,Rich=16; z=0.02018
WBL 373,181.163200,31.171700,UMA,G+,Rich=3; z=0.02551
WBL 374,181.189100,20.338300,COM,G+,Rich=19; z=0.02309
WBL 375,181.239800,10.605000,VIR,G+,Rich=4; z=0.00844
WBL 376,181.385800,43.138400,UMA,G+,Rich=3; z=0.00259
WBL 377,181.490900,-2.978300,VIR,G+,Rich=3; z=0.03871
WBL 378,181.637200,28.188400,COM,G+,Rich=4; z=0.02867
WBL 379,181.674800,67.171800,DRA,G+,Rich=3; z=0.00847
WBL 380,181.759100,43.055100,CVN,G+,Rich=3; z=0.00264
WBL 381,181.813400,16.938400,COM,G+,Rich=5; z=0.02273
WBL 382,182.235400,29.238500,COM,G+,Rich=3; z=0.01301
WBL 383,182.631400,39.405200,CVN,G+,Rich=3; z=0.01292
WBL 384,182.736800,17.888500,COM,G+,Rich=3; z=0.02304
WBL 385,183.058200,29.172000,COM,G+,Rich=5; z=0.01073
WBL 386,183.087500,13.205300,VIR,G+,Rich=3; z=0.00691
WBL 387,183.086900,15.355300,COM,G+,Rich=3; z=0.02379
WBL 388,183.786600,13.522100,COM,G+,Rich=3; z=0.00106
WBL 389,183.882900,23.988800,COM,G+,Rich=3; z=0.02259
WBL 390,184.132400,23.905600,COM,G+,Rich=3; z=0.02319
WBL 391,184.413300,6.672300,VIR,G+,Rich=3; z=0.00495
WBL 392,184.838300,5.939100,VIR,G+,Rich=12; z=0.00704
WBL 393,184.912600,7.772500,VIR,G+,Rich=6; z=0.01183
WBL 394,184.928500,28.372500,COM,G+,Rich=5; z=0.02671
WBL 395,184.928300,28.805900,COM,G+,Rich=4; z=0.02536
WBL 396,184.940900,-0.777500,VIR,G+,Rich=3
WBL 397,185.013400,5.389200,VIR,G+,Rich=9; z=0.00827
WBL 398,185.037100,8.605900,VIR,G+,Rich=3; z=0.02461
WBL 399,185.027800,29.272600,COM,G+,Rich=3; z=0.00261
WBL 400,185.245500,39.889400,CVN,G+,Rich=3
WBL 401,185.733100,15.822900,COM,G+,Rich=3; z=0.00430
WBL 402,185.862700,6.072900,VIR,G+,Rich=3; z=0.02361
WBL 403,185.937200,7.039600,VIR,G+,Rich=5; z=0.00355
WBL 404,185.961100,9.323000,VIR,G+,Rich=9; z=0.02364
WBL 405,185.989900,1.373000,VIR,G+,Rich=3
WBL 406,186.112000,7.323000,VIR,G+,Rich=3; z=0.00362
WBL 407,186.392100,-2.893500,VIR,G+,Rich=3; z=0.02518
WBL 408,186.610800,8.956600,VIR,G+,Rich=9; z=0.02183
WBL 409,186.958600,12.290200,VIR,G+,Rich=3; z=0.00311
WBL 410,187.435700,7.990400,VIR,G+,Rich=6; z=0.00412
WBL 411,188.057700,11.840800,VIR,G+,Rich=3; z=0.00307
WBL 412,188.004600,66.340900,DRA,G+,Rich=3; z=0.04768
WBL 413,188.310200,7.841000,VIR,G+,Rich=3; z=0.02103
WBL 414,188.879800,63.974800,DRA,G+,Rich=3
WBL 415,188.994200,26.924800,COM,G+,Rich=5; z=0.02538
WBL 416,189.564400,1.441900,VIR,G+,Rich=3; z=0.01162
WBL 417,189.765300,0.358700,VIR,G+,Rich=3; z=0.02316
WBL 418,189.816300,27.808800,COM,G+,Rich=3; z=0.02367
WBL 419,190.391700,26.042600,COM,G+,Rich=3; z=0.01608
WBL 420,190.787400,3.609600,VIR,G+,Rich=3
WBL 421,190.905100,11.559700,VIR,G+,Rich=3; z=0.00472
WBL 422,191.095500,40.726600,CVN,G+,Rich=3; z=0.01686
WBL 423,193.479900,9.495600,VIR,G+,Rich=3
WBL 424,193.582800,27.062400,COM,G+,Rich=4; z=0.02455
WBL 425,193.658500,58.829300,UMA,G+,Rich=4; z=0.00850
WBL 426,194.903300,27.897300,COM,G+,Rich=148; z=0.02312
WBL 427,195.459100,5.031300,VIR,G+,Rich=3
WBL 428,195.980100,7.898600,VIR,G+,Rich=10; z=0.02010
WBL 429,196.185400,3.798900,VIR,G+,Rich=4
WBL 430,196.459700,53.632700,UMA,G+,Rich=7; z=0.03349
WBL 431,197.036200,34.033500,CVN,G+,Rich=3; z=0.03361
WBL 432,197.216600,-0.783000,VIR,G+,Rich=3; z=0.01610
WBL 433,197.185600,62.250400,UMA,G+,Rich=6; z=0.02756
WBL 434,197.742900,29.634500,COM,G+,Rich=3; z=0.02309
WBL 435,198.429900,6.935400,VIR,G+,Rich=6; z=0.02167
WBL 436,198.735800,3.035900,VIR,G+,Rich=3
WBL 437,199.044100,13.436400,VIR,G+,Rich=3
WBL 438,199.331300,20.636800,COM,G+,Rich=4; z=0.02259
WBL 439,199.558300,4.453800,VIR,G+,Rich=3; z=0.02076
WBL 440,199.735100,30.804200,COM,G+,Rich=3; z=0.03164
WBL 441,200.034100,30.921300,COM,G+,Rich=3; z=0.02410
WBL 442,200.307300,31.371800,CVN,G+,Rich=9; z=0.02052
WBL 443,200.369700,12.255200,VIR,G+,Rich=3; z=0.03823
WBL 444,201.065800,14.006400,VIR,G+,Rich=6; z=0.02306
WBL 445,201.241900,36.390100,CVN,G+,Rich=3; z=0.01822
WBL 446,202.050900,31.991500,CVN,G+,Rich=4; z=0.03126
WBL 447,202.368700,11.725300,VIR,G+,Rich=11; z=0.02317
WBL 448,202.601000,31.325800,CVN,G+,Rich=3; z=0.02042
WBL 449,203.130000,18.143400,COM,G+,Rich=4; z=0.02299
WBL 450,203.176600,7.276800,VIR,G+,Rich=8; z=0.02317
WBL 451,203.344300,33.077200,CVN,G+,Rich=3; z=0.02468
WBL 452,203.484100,3.294100,VIR,G+,Rich=3
WBL 453,203.489600,13.244100,VIR,G+,Rich=4; z=0.04332
WBL 454,203.530000,17.860900,COM,G+,Rich=3; z=0.02692
WBL 455,203.623500,8.761000,VIR,G+,Rich=3
WBL 456,203.963900,13.361700,VIR,G+,Rich=3; z=0.04264
WBL 457,204.016300,33.445200,CVN,G+,Rich=3; z=0.02498
WBL 458,204.302600,6.479000,VIR,G+,Rich=4
WBL 459,204.580000,27.779600,BOO,G+,Rich=3; z=0.03522
WBL 460,204.639400,0.529600,VIR,G+,Rich=3; z=0.02270
WBL 461,204.794900,31.363400,CVN,G+,Rich=3; z=0.01559
WBL 462,205.355000,5.047800,VIR,G+,Rich=3
WBL 463,205.364800,23.214500,BOO,G+,Rich=4; z=0.02713
WBL 464,205.671900,29.848500,CVN,G+,Rich=5; z=0.04109
WBL 465,205.957200,3.882400,VIR,G+,Rich=3; z=0.02285
WBL 466,206.070600,29.932700,CVN,G+,Rich=3; z=0.03895
WBL 467,206.465600,22.083500,BOO,G+,Rich=3; z=0.02725
WBL 468,206.933000,3.401100,VIR,G+,Rich=3
WBL 469,208.020300,-2.179800,VIR,G+,Rich=3; z=0.01501
WBL 470,208.007900,14.086900,BOO,G+,Rich=7; z=0.02339
WBL 471,208.060900,2.003600,VIR,G+,Rich=5; z=0.03311
WBL 472,208.135100,2.320400,VIR,G+,Rich=6; z=0.02052
WBL 473,208.114000,21.570500,BOO,G+,Rich=3; z=0.02518
WBL 474,208.389800,37.437900,CVN,G+,Rich=4; z=0.01646
WBL 475,208.378900,40.304500,CVN,G+,Rich=5; z=0.00806
WBL 476,208.536500,30.871500,CVN,G+,Rich=3; z=0.04210
WBL 477,208.853000,25.088900,BOO,G+,Rich=11; z=0.02929
WBL 478,209.092400,28.522800,CVN,G+,Rich=4; z=0.03543
WBL 479,209.286700,12.006500,BOO,G+,Rich=3; z=0.02053
WBL 480,209.472700,17.456900,BOO,G+,Rich=5; z=0.02201
WBL 481,209.623100,7.223900,VIR,G+,Rich=4; z=0.01915
WBL 482,209.817200,28.041200,CVN,G+,Rich=4; z=0.06830
WBL 483,210.147400,-2.874900,VIR,G+,Rich=3; z=0.02531
WBL 484,210.518800,-1.374000,VIR,G+,Rich=3; z=0.02476
WBL 485,210.600800,32.493100,CVN,G+,Rich=3; z=0.01452
WBL 486,210.692300,9.326500,BOO,G+,Rich=26; z=0.02038
WBL 487,210.950400,15.727200,BOO,G+,Rich=3; z=0.02298
WBL 488,211.098700,16.294200,BOO,G+,Rich=3; z=0.01410
WBL 489,211.279900,30.761400,CVN,G+,Rich=3; z=0.02516
WBL 490,211.801100,15.096000,BOO,G+,Rich=3; z=0.04024
WBL 491,211.806300,55.029600,UMA,G+,Rich=3; z=0.00563
WBL 492,212.142300,8.946800,BOO,G+,Rich=3; z=0.02412
WBL 493,212.493300,17.597800,BOO,G+,Rich=7; z=0.01750
WBL 494,213.072600,15.849300,BOO,G+,Rich=3; z=0.01751
WBL 495,213.485600,1.783600,VIR,G+,Rich=3; z=0.05457
WBL 496,213.631900,3.167400,VIR,G+,Rich=3; z=0.02629
WBL 497,213.777300,4.867800,VIR,G+,Rich=4; z=0.03260
WBL 498,214.310700,1.719200,VIR,G+,Rich=3; z=0.02467
WBL 499,214.494600,7.569700,BOO,G+,Rich=4; z=0.02516
WBL 500,214.537600,26.369900,BOO,G+,Rich=3; z=0.01494
WBL 501,215.079500,3.938000,VIR,G+,Rich=3; z=0.00557
WBL 502,215.722900,6.173100,VIR,G+,Rich=3
WBL 503,215.727900,40.356700,BOO,G+,Rich=4; z=0.01848
WBL 504,216.083500,26.657600,BOO,G+,Rich=3; z=0.03727
WBL 505,216.254000,27.824700,BOO,G+,Rich=4; z=0.03751
WBL 506,216.665600,16.759200,BOO,G+,Rich=9; z=0.05196
WBL 507,216.851400,4.809700,VIR,G+,Rich=4; z=0.02742
WBL 508,217.106800,11.377100,BOO,G+,Rich=4; z=0.02640
WBL 509,217.084400,25.877100,BOO,G+,Rich=7; z=0.01434
WBL 510,217.430900,3.228000,VIR,G+,Rich=3; z=0.00605
WBL 511,217.644500,40.745600,BOO,G+,Rich=3; z=0.03390
WBL 512,217.996800,6.213000,VIR,G+,Rich=3; z=0.00787
WBL 513,217.172700,78.895200,UMI,G+,Rich=3
WBL 514,218.454000,3.781000,VIR,G+,Rich=10; z=0.03008
WBL 515,218.648000,47.982000,BOO,G+,Rich=3
WBL 516,218.842100,48.715900,BOO,G+,Rich=3; z=0.00742
WBL 517,219.602900,46.651500,BOO,G+,Rich=3; z=0.00746
WBL 518,220.204800,3.403100,VIR,G+,Rich=11; z=0.02681
WBL 519,220.460600,9.403900,BOO,G+,Rich=3
WBL 520,220.555000,3.304200,VIR,G+,Rich=3; z=0.02548
WBL 521,220.662700,8.737900,BOO,G+,Rich=4; z=0.03375
WBL 522,220.904500,11.205300,BOO,G+,Rich=3; z=0.03648
WBL 523,221.089800,15.539300,BOO,G+,Rich=3
WBL 524,221.727600,11.574600,BOO,G+,Rich=6; z=0.02945
WBL 525,221.720500,13.691300,BOO,G+,Rich=5; z=0.03757
WBL 526,221.884000,9.625100,BOO,G+,Rich=4; z=0.02836
WBL 527,222.050400,31.759100,BOO,G+,Rich=4; z=0.04122
WBL 528,222.409300,16.710200,BOO,G+,Rich=6; z=0.03680
WBL 529,223.189000,7.912700,BOO,G+,Rich=3; z=0.03548
WBL 530,223.254500,3.296200,VIR,G+,Rich=6; z=0.00526
WBL 531,223.233300,16.729600,BOO,G+,Rich=6; z=0.04428
WBL 532,223.478600,3.546900,VIR,G+,Rich=3; z=0.00548
WBL 533,223.506400,10.097100,BOO,G+,Rich=3; z=0.02874
WBL 534,223.549400,4.780500,VIR,G+,Rich=3; z=0.03099
WBL 535,223.727900,18.064500,BOO,G+,Rich=3; z=0.02031
WBL 536,224.158700,9.332600,BOO,G+,Rich=3; z=0.02862
WBL 537,224.645000,48.451300,BOO,G+,Rich=4; z=0.03700
WBL 538,226.082100,28.456000,BOO,G+,Rich=7; z=0.05768
WBL 539,226.269900,5.839800,VIR,G+,Rich=3; z=0.03163
WBL 540,226.256700,16.323200,BOO,G+,Rich=6
WBL 541,226.470000,5.807200,VIR,G+,Rich=3
WBL 542,226.527400,3.690700,VIR,G+,Rich=3; z=0.03597
WBL 543,226.719300,12.858100,BOO,G+,Rich=3; z=0.02204
WBL 544,226.789900,20.475100,BOO,G+,Rich=3
WBL 545,226.841000,6.891800,VIR,G+,Rich=3; z=0.03065
WBL 546,226.856400,16.258600,BOO,G+,Rich=3
WBL 547,227.011000,1.242400,VIR,G+,Rich=3; z=0.03522
WBL 548,227.094700,19.192800,BOO,G+,Rich=3; z=0.02048
WBL 549,227.199800,52.460200,BOO,G+,Rich=6; z=0.01040
WBL 550,227.884400,1.662200,SER,G+,Rich=6; z=0.00673
WBL 551,227.874100,4.528800,SER,G+,Rich=4
WBL 552,228.108300,1.979600,SER,G+,Rich=3
WBL 553,228.135100,1.479700,SER,G+,Rich=3
WBL 554,228.324400,4.413800,SER,G+,Rich=7; z=0.03627
WBL 555,228.457900,2.064200,SER,G+,Rich=3
WBL 556,227.856500,75.146900,UMI,G+,Rich=3
WBL 557,229.239600,0.217100,SER,G+,Rich=3; z=0.06230
WBL 558,229.214500,7.033700,SER,G+,Rich=8; z=0.03455
WBL 559,229.463800,7.201300,SER,G+,Rich=3; z=0.03498
WBL 560,228.957800,69.300400,UMI,G+,Rich=3; z=0.02250
WBL 561,229.566900,12.951700,SER,G+,Rich=3; z=0.02792
WBL 562,230.102400,3.503600,SER,G+,Rich=3; z=0.03674
WBL 563,230.112800,25.720500,CRB,G+,Rich=3
WBL 564,230.411600,7.688100,SER,G+,Rich=4; z=0.04541
WBL 565,230.770600,-1.393900,SER,G+,Rich=4; z=0.02764
WBL 566,230.782900,8.606200,SER,G+,Rich=28; z=0.03616
WBL 567,231.347200,4.808300,SER,G+,Rich=3
WBL 568,232.186800,7.444800,SER,G+,Rich=4
WBL 569,232.036600,42.928000,BOO,G+,Rich=3; z=0.01868
WBL 570,232.395900,5.062300,SER,G+,Rich=3; z=0.03756
WBL 571,232.401900,3.512300,SER,G+,Rich=3; z=0.03876
WBL 572,232.437000,42.712800,BOO,G+,Rich=3; z=0.01875
WBL 573,232.886700,7.397500,SER,G+,Rich=7; z=0.03415
WBL 574,233.122000,4.731700,SER,G+,Rich=4; z=0.03875
WBL 575,233.238500,0.498800,SER,G+,Rich=3; z=0.03940
WBL 576,233.934300,25.301800,SER,G+,Rich=5; z=0.03462
WBL 577,234.076800,43.502500,BOO,G+,Rich=5; z=0.01885
WBL 578,234.528900,26.254100,CRB,G+,Rich=3
WBL 579,234.908500,14.072200,SER,G+,Rich=6; z=0.01512
WBL 580,234.899500,21.805500,SER,G+,Rich=5; z=0.04151
WBL 581,235.217600,28.306900,CRB,G+,Rich=3; z=0.03201
WBL 582,235.558900,7.841300,SER,G+,Rich=3
WBL 583,235.639500,23.758500,SER,G+,Rich=5; z=0.02292
WBL 584,235.940600,28.476400,CRB,G+,Rich=3; z=0.03278
WBL 585,235.919400,43.826500,BOO,G+,Rich=3; z=0.03730
WBL 586,236.555700,2.412000,SER,G+,Rich=3; z=0.01298
WBL 587,236.480600,30.211900,CRB,G+,Rich=3; z=0.03158
WBL 588,237.454300,42.016100,HER,G+,Rich=4
WBL 589,237.065100,69.448700,DRA,G+,Rich=3; z=0.03769
WBL 590,237.105300,68.165400,DRA,G+,Rich=3; z=0.02907
WBL 591,237.866000,11.884100,SER,G+,Rich=3
WBL 592,237.347800,71.233300,UMI,G+,Rich=3; z=0.02555
WBL 593,238.535800,18.586900,SER,G+,Rich=4; z=0.04705
WBL 594,238.719400,10.970900,SER,G+,Rich=3; z=0.04010
WBL 595,239.176400,41.873200,HER,G+,Rich=3; z=0.03555
WBL 596,239.223700,48.140200,HER,G+,Rich=5; z=0.01962
WBL 597,239.445600,16.290600,SER,G+,Rich=4; z=0.03546
WBL 598,239.300500,63.924300,DRA,G+,Rich=3; z=0.03045
WBL 599,239.726400,14.941800,SER,G+,Rich=3; z=0.03781
WBL 600,240.298500,15.510900,SER,G+,Rich=3; z=0.03582
WBL 601,240.419600,16.344700,HER,G+,Rich=8; z=0.03548
WBL 602,240.546400,15.928600,HER,G+,Rich=3; z=0.03430
WBL 603,240.894300,16.346700,HER,G+,Rich=4; z=0.03740
WBL 604,240.940200,17.230300,HER,G+,Rich=3; z=0.03449
WBL 605,241.138000,12.181100,SER,G+,Rich=3
WBL 606,241.168200,16.547900,HER,G+,Rich=5; z=0.03182
WBL 607,241.361700,17.898700,HER,G+,Rich=35; z=0.03648
WBL 608,241.486200,55.366500,DRA,G+,Rich=3; z=0.03136
WBL 609,241.905000,13.851000,SER,G+,Rich=5; z=0.04179
WBL 610,242.893000,52.455800,DRA,G+,Rich=3; z=0.02965
WBL 611,243.267000,30.873700,CRB,G+,Rich=3; z=0.05049
WBL 612,244.464400,35.062300,CRB,G+,Rich=10; z=0.03006
WBL 613,245.921900,9.751800,HER,G+,Rich=3
WBL 614,246.776500,3.138800,OPH,G+,Rich=3; z=0.02680
WBL 615,247.100200,32.840600,HER,G+,Rich=3; z=0.03527
WBL 616,247.178800,39.541100,HER,G+,Rich=3; z=0.02887
WBL 617,247.166000,41.207700,HER,G+,Rich=5; z=0.03162
WBL 618,247.594100,40.726300,HER,G+,Rich=9; z=0.02973
WBL 619,247.701000,39.810100,HER,G+,Rich=7; z=0.02930
WBL 620,248.278000,50.396300,HER,G+,Rich=3; z=0.04803
WBL 621,249.475800,36.068100,HER,G+,Rich=3; z=0.03239
WBL 622,250.373300,57.839400,DRA,G+,Rich=4; z=0.01990
WBL 623,252.099100,35.880100,HER,G+,Rich=3; z=0.03148
WBL 624,253.101000,23.301200,HER,G+,Rich=3
WBL 625,254.424000,27.857400,HER,G+,Rich=3; z=0.03369
WBL 626,254.409800,40.724300,HER,G+,Rich=3
WBL 627,252.845800,81.620700,UMI,G+,Rich=3; z=0.03790
WBL 628,254.483800,68.492300,DRA,G+,Rich=3
WBL 629,255.176300,23.027600,HER,G+,Rich=3; z=0.00960
WBL 630,256.223500,41.849500,HER,G+,Rich=4
WBL 631,256.687500,43.068300,HER,G+,Rich=3; z=0.02840
WBL 632,255.991200,78.634300,UMI,G+,Rich=3; z=0.05732
WBL 633,258.237900,42.842400,HER,G+,Rich=3
WBL 634,258.750300,8.410900,OPH,G+,Rich=4
WBL 635,258.605100,43.677500,HER,G+,Rich=3; z=0.02743
WBL 636,258.838500,57.395600,DRA,G+,Rich=6; z=0.02904
WBL 637,259.353800,7.680500,OPH,G+,Rich=4; z=0.02241
WBL 638,260.502600,30.719600,HER,G+,Rich=3
WBL 639,260.845300,23.654500,HER,G+,Rich=3
WBL 640,261.815400,58.526600,DRA,G+,Rich=4; z=0.02631
WBL 641,261.962200,60.044000,DRA,G+,Rich=5; z=0.01090
WBL 642,262.984200,6.497900,OPH,G+,Rich=4
WBL 643,263.300700,43.783300,HER,G+,Rich=4
WBL 644,264.027600,68.071200,DRA,G+,Rich=7; z=0.02580
WBL 645,265.842500,67.579900,DRA,G+,Rich=5
WBL 646,267.077900,34.051400,HER,G+,Rich=3; z=0.02218
WBL 647,267.175600,17.968300,HER,G+,Rich=3
WBL 648,268.131100,29.839800,HER,G+,Rich=3; z=0.02059
WBL 649,268.673400,18.358900,HER,G+,Rich=3; z=0.01043
WBL 650,268.928200,62.627900,DRA,G+,Rich=5; z=0.02665
WBL 651,270.709400,29.319000,HER,G+,Rich=3
WBL 652,273.031300,21.496800,HER,G+,Rich=7
WBL 653,273.133200,25.497300,HER,G+,Rich=6; z=0.01531
WBL 654,273.056800,61.364500,DRA,G+,Rich=3
WBL 655,275.173100,38.140800,LYR,G+,Rich=3
WBL 656,277.702200,34.352900,LYR,G+,Rich=3
WBL 657,278.542900,32.123600,LYR,G+,Rich=3; z=0.01835
WBL 658,279.166700,19.826400,HER,G+,Rich=3; z=0.01581
WBL 659,279.985200,40.064000,LYR,G+,Rich=3
WBL 660,282.905500,26.494300,LYR,G+,Rich=3; z=0.01383
WBL 661,290.288600,44.012300,CYG,G+,Rich=4; z=0.04799
WBL 662,302.992300,5.783700,AQL,G+,Rich=3; z=0.01752
WBL 663,308.227700,9.904500,DEL,G+,Rich=3; z=0.01525
WBL 664,309.525400,10.692700,DEL,G+,Rich=3
WBL 665,309.883400,2.060700,AQR,G+,Rich=3; z=0.01308
WBL 666,311.839800,0.351200,AQR,G+,Rich=7; z=0.01303
WBL 667,313.666200,-0.025600,AQR,G+,Rich=3
WBL 668,315.057800,9.546000,EQU,G+,Rich=3; z=0.03112
WBL 669,317.822700,-2.011400,AQR,G+,Rich=3; z=0.03145
WBL 670,317.928300,11.389000,EQU,G+,Rich=5
WBL 671,324.289800,0.441800,AQR,G+,Rich=3
WBL 672,327.983100,3.051900,PEG,G+,Rich=3
WBL 673,328.300000,15.552800,PEG,G+,Rich=4; z=0.02974
WBL 674,328.576600,15.086800,PEG,G+,Rich=3; z=0.02453
WBL 675,329.595000,8.422700,PEG,G+,Rich=3
WBL 676,330.421100,-2.075300,AQR,G+,Rich=4; z=0.02660
WBL 677,330.860300,12.642400,PEG,G+,Rich=3; z=0.02643
WBL 678,333.635300,13.815400,PEG,G+,Rich=7; z=0.02357
WBL 679,333.846800,37.299300,LAC,G+,Rich=4; z=0.01975
WBL 680,335.968300,32.403700,PEG,G+,Rich=3; z=0.02200
WBL 681,336.057700,36.137200,LAC,G+,Rich=3; z=0.01858
WBL 682,338.205800,39.208000,LAC,G+,Rich=4; z=0.01623
WBL 683,339.023100,33.959400,PEG,G+,Rich=4; z=0.02175
WBL 684,339.272600,34.426500,PEG,G+,Rich=4; z=0.02150
WBL 685,339.646200,35.443800,PEG,G+,Rich=6; z=0.02704
WBL 686,341.049700,10.012800,PEG,G+,Rich=3; z=0.02405
WBL 687,342.195800,27.581300,PEG,G+,Rich=3; z=0.03203
WBL 688,342.498400,11.598400,PEG,G+,Rich=6; z=0.02545
WBL 689,343.164300,1.132700,PSC,G+,Rich=4; z=0.02564
WBL 690,343.391000,31.666300,PEG,G+,Rich=3; z=0.01716
WBL 691,343.611400,20.233300,PEG,G+,Rich=4; z=0.02834
WBL 692,344.478700,26.134500,PEG,G+,Rich=5; z=0.02439
WBL 693,344.880900,39.101700,AND,G+,Rich=3; z=0.01731
WBL 694,344.942000,17.951800,PEG,G+,Rich=3; z=0.03154
WBL 695,345.470500,15.985800,PEG,G+,Rich=4; z=0.00696
WBL 696,345.815600,19.969500,PEG,G+,Rich=3; z=0.04007
WBL 697,346.506500,7.987000,PSC,G+,Rich=3
WBL 698,347.607700,7.554900,PSC,G+,Rich=4; z=0.04188
WBL 699,348.581200,31.555900,PEG,G+,Rich=3; z=0.02085
WBL 700,348.821800,18.989500,PEG,G+,Rich=4; z=0.01648
WBL 701,348.915100,25.089600,PEG,G+,Rich=3; z=0.02703
WBL 702,349.100500,15.856400,PEG,G+,Rich=4; z=0.01465
WBL 703,349.273100,18.439900,PEG,G+,Rich=4; z=0.04388
WBL 704,349.386600,29.023300,PEG,G+,Rich=3; z=0.02382
WBL 705,349.457100,9.423400,PEG,G+,Rich=3; z=0.04206
WBL 706,349.531400,10.290100,PEG,G+,Rich=3; z=0.03620
WBL 707,349.648400,18.706900,PEG,G+,Rich=3; z=0.03779
WBL 708,350.083500,8.374000,PEG,G+,Rich=3; z=0.01364
WBL 709,350.076400,16.240600,PEG,G+,Rich=3; z=0.02393
WBL 710,350.158800,8.190700,PEG,G+,Rich=6; z=0.01285
WBL 711,350.414600,1.424300,PSC,G+,Rich=3; z=0.02941
WBL 712,350.408300,8.907600,PEG,G+,Rich=3; z=0.01076
WBL 713,350.416400,27.090900,PEG,G+,Rich=3; z=0.01963
WBL 714,350.483000,9.291000,PEG,G+,Rich=3; z=0.03940
WBL 715,350.848600,20.574600,PEG,G+,Rich=3; z=0.03800
WBL 716,351.984600,8.792100,PEG,G+,Rich=3; z=0.02890
WBL 717,352.178500,17.308900,PEG,G+,Rich=3; z=0.02322
WBL 718,353.788000,4.926600,PSC,G+,Rich=3
WBL 719,354.129200,21.126800,PEG,G+,Rich=3; z=0.05893
WBL 720,354.461800,8.043600,PSC,G+,Rich=3; z=0.02062
WBL 721,354.676800,27.010400,PEG,G+,Rich=18; z=0.03117
WBL 722,355.276100,78.227300,CEP,G+,Rich=3
WBL 723,355.779400,27.360800,PEG,G+,Rich=4; z=0.02655
WBL 724,357.734300,27.194800,PEG,G+,Rich=9; z=0.02666
WBL 725,357.813900,8.711500,PEG,G+,Rich=3; z=0.04102
WBL 726,357.811300,20.128100,PEG,G+,Rich=4; z=0.01394
WBL 727,358.389400,7.911600,PSC,G+,Rich=4; z=0.01782
WBL 728,358.836500,30.294900,PEG,G+,Rich=5; z=0.02727
WBL 729,359.888500,46.911700,AND,G+,Rich=3; z=0.01675
WBL 730,0.039800,32.761700,AND,G+,Rich=4; z=0.03284
WBL 731,0.165300,28.411700,PEG,G+,Rich=3; z=0.02865
WBL 732,0.265500,34.595000,AND,G+,Rich=4; z=0.02958
